,tag,stmt,2009-06-30 00:00:00,2009-12-31 00:00:00,2010-03-31 00:00:00,2010-06-30 00:00:00,2010-09-30 00:00:00,2010-12-31 00:00:00,2011-03-31 00:00:00,2011-06-30 00:00:00,2011-09-30 00:00:00,2011-12-31 00:00:00,2012-03-31 00:00:00,2012-06-30 00:00:00,2012-09-30 00:00:00,2012-12-31 00:00:00,2013-03-31 00:00:00,2013-06-30 00:00:00,2013-09-30 00:00:00,2013-12-31 00:00:00,2014-03-31 00:00:00,2014-06-30 00:00:00,2014-09-30 00:00:00,2014-12-31 00:00:00,2015-03-31 00:00:00,2015-06-30 00:00:00,2015-09-30 00:00:00,2015-12-31 00:00:00,2016-03-31 00:00:00,2016-06-30 00:00:00,2016-09-30 00:00:00,2016-12-31 00:00:00,2017-03-31 00:00:00,2017-06-30 00:00:00,2017-09-30 00:00:00,2017-12-31 00:00:00,2018-03-31 00:00:00,2018-06-30 00:00:00,2018-09-30 00:00:00,2018-12-31 00:00:00,2019-03-31 00:00:00,2019-06-30 00:00:00,2019-09-30 00:00:00,2019-12-31 00:00:00,2020-03-31 00:00:00,2020-06-30 00:00:00,2020-09-30 00:00:00,2020-12-31 00:00:00,2021-03-31 00:00:00,2021-06-30 00:00:00,2021-09-30 00:00:00,2021-12-31 00:00:00,2022-03-31 00:00:00,2022-06-30 00:00:00,2022-09-30 00:00:00,2022-12-31 00:00:00,2023-03-31 00:00:00,2023-06-30 00:00:00,2023-09-30 00:00:00,2023-12-31 00:00:00,2024-03-31 00:00:00,2024-06-30 00:00:00
10,ProfitLoss,IS,2049000000.0,6906000000.0,1626000000.0,2382000000.0,2067000000.0,11859000000.0,1913000000.0,2804000000.0,2243000000.0,8634000000.0,2067000000.0,2800000000.0,2329000000.0,9086000000.0,1769000000.0,2694000000.0,2455000000.0,8626000000.0,1626000000.0,2605000000.0,2122000000.0,7124000000.0,1566000000.0,3111000000.0,1453000000.0,7366000000.0,1493000000.0,3460000000.0,1050000000.0,6550000000.0,1184000000.0,1372000000.0,1444000000.0,1283000000.0,1400000000.0,2331000000.0,1818000000.0,6476000000.0,1703000000.0,2628000000.0,2589000000.0,8985000000.0,2795000000.0,1759000000.0,1740000000.0,7768000000.0,2255000000.0,2624000000.0,2475000000.0,9804000000.0,2793000000.0,1900000000.0,2822000000.0,9571000000.0,3113000000.0,2521000000.0,3083000000.0,10703000000.0,3185000000.0,2401000000.0
11,CommonStockDividendsPerShareDeclared,IS,0.41,,0.44,0.44,0.44,,0.47,0.47,0.47,,0.51,0.51,0.255,,0.28,0.28,0.28,,0.305,0.305,0.305,,0.33,0.33,0.33,,0.35,0.35,0.35,,0.37,0.37,0.37,,0.39,0.39,0.39,,,,,,,,,,,,,,,,,,,,,,,
12,WeightedAverageNumberDilutedSharesOutstandingAdjustment,IS,10000000.0,15000000.0,23000000.0,19000000.0,26000000.0,25000000.0,39000000.0,40000000.0,40000000.0,39000000.0,38000000.0,41000000.0,85000000.0,80000000.0,75000000.0,81000000.0,72000000.0,75000000.0,63000000.0,63000000.0,62000000.0,63000000.0,57000000.0,53000000.0,50000000.0,53000000.0,54000000.0,54000000.0,49000000.0,50000000.0,47000000.0,54000000.0,54000000.0,52000000.0,41.0,35.0,40.0,40000000.0,35.0,36000000.0,41000000.0,38000000.0,36000000.0,21000000.0,25000000.0,28000000.0,23000000.0,25000000.0,26000000.0,25000000.0,25000000.0,22000000.0,21000000.0,22000000.0,19000000.0,16000000.0,15000000.0,16000000.0,12000000.0,10000000.0
13,NetIncomeLoss,IS,2037000000.0,6824000000.0,1614000000.0,2369000000.0,2055000000.0,11809000000.0,1900000000.0,2797000000.0,2221000000.0,8572000000.0,2054000000.0,2788000000.0,2311000000.0,9019000000.0,1751000000.0,2676000000.0,2447000000.0,8584000000.0,1619000000.0,2595000000.0,2114000000.0,7098000000.0,1557000000.0,3108000000.0,1449000000.0,7351000000.0,1483000000.0,3448000000.0,1046000000.0,6527000000.0,1182000000.0,1371000000.0,1447000000.0,1248000000.0,1368000000.0,2316000000.0,1880000000.0,6434000000.0,1678000000.0,2607000000.0,2593000000.0,8920000000.0,2775000000.0,1779000000.0,1737000000.0,7747000000.0,2245000000.0,2641000000.0,2471000000.0,9771000000.0,2781000000.0,1905000000.0,2825000000.0,9542000000.0,3107000000.0,2547000000.0,3087000000.0,10714000000.0,3177000000.0,2411000000.0
14,OtherNonoperatingIncomeExpense,IS,20000000.0,40000000.0,-115000000.0,18000000.0,-12000000.0,5185000000.0,117000000.0,362000000.0,-32000000.0,529000000.0,49000000.0,84000000.0,23000000.0,137000000.0,-165000000.0,29000000.0,658000000.0,576000000.0,-241000000.0,-77000000.0,-312000000.0,-1263000000.0,-25000000.0,1605000000.0,-871000000.0,631000000.0,-342000000.0,1133000000.0,-1106000000.0,-1234000000.0,-554000000.0,203000000.0,-771000000.0,-1666000000.0,-55000000.0,-97000000.0,9000000.0,-1121000000.0,-234000000.0,,,34000000.0,,,,841000000.0,,,,2000000000.0,,,,-262000000.0,615000000.0,91000000.0,-130000000.0,570000000.0,1513000000.0,2000000.0
15,IncomeLossFromContinuingOperationsBeforeIncomeTax,IS,2728000000.0,8946000000.0,2179000000.0,3123000000.0,2700000000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,GrossProfit,IS,5354000000.0,19902000000.0,4984000000.0,5719000000.0,5508000000.0,22426000000.0,6568000000.0,7748000000.0,7373000000.0,28326000000.0,6789000000.0,7861000000.0,7487000000.0,28964000000.0,6711000000.0,7760000000.0,7237000000.0,28433000000.0,6493000000.0,7755000000.0,7346000000.0,28109000000.0,6608000000.0,7408000000.0,6850000000.0,26812000000.0,6213000000.0,7068000000.0,6502000000.0,25398000000.0,5605000000.0,6043000000.0,5683000000.0,22154000000.0,4888000000.0,5675000000.0,5186000000.0,20086000000.0,5030000000.0,6076000000.0,5740000000.0,22647000000.0,5230000000.0,4137000000.0,5181000000.0,19581000000.0,5515000000.0,6342000000.0,6065000000.0,23298000000.0,6400000000.0,6495000000.0,6497000000.0,25004000000.0,6663000000.0,7060000000.0,7296000000.0,27234000000.0,7065000000.0,7551000000.0
17,OperatingIncomeLoss,IS,2438000000.0,8231000000.0,2183000000.0,2763000000.0,2344000000.0,8449000000.0,2279000000.0,3174000000.0,2750000000.0,10154000000.0,2509000000.0,3294000000.0,2793000000.0,10779000000.0,2408000000.0,3243000000.0,2472000000.0,10228000000.0,2376000000.0,3170000000.0,2711000000.0,9708000000.0,2296000000.0,2535000000.0,2379000000.0,8728000000.0,2141000000.0,2859000000.0,2271000000.0,8626000000.0,1982000000.0,2078000000.0,2120000000.0,7501000000.0,1811000000.0,2727000000.0,2526000000.0,8700000000.0,2336000000.0,2988000000.0,2499000000.0,10086000000.0,2380000000.0,1981000000.0,2298000000.0,8997000000.0,2722000000.0,3016000000.0,2898000000.0,10308000000.0,3405000000.0,2341000000.0,3088000000.0,10909000000.0,3367000000.0,2401000000.0,3270000000.0,11311000000.0,2141000000.0,2632000000.0
18,EarningsPerShareBasic,IS,0.88,2.95,0.7,1.03,0.89,5.12,0.83,1.22,0.97,3.75,0.91,1.24,0.51,2.0,0.39,0.6,0.55,1.94,0.37,0.59,0.48,1.62,0.36,0.71,0.33,1.69,0.34,0.8,0.24,1.51,0.28,0.32,0.34,0.29,0.32,0.54,0.44,1.51,0.39,0.61,0.61,2.09,0.65,0.41,0.4,1.8,0.52,0.61,0.57,2.26,0.64,0.44,0.65,2.2,0.72,0.59,0.71,2.48,0.74,0.56
19,InvestmentIncomeInterest,IS,57000000.0,249000000.0,60000000.0,67000000.0,93000000.0,317000000.0,94000000.0,121000000.0,141000000.0,483000000.0,115000000.0,112000000.0,118000000.0,471000000.0,116000000.0,129000000.0,136000000.0,534000000.0,123000000.0,144000000.0,169000000.0,594000000.0,155000000.0,149000000.0,155000000.0,613000000.0,144000000.0,164000000.0,164000000.0,642000000.0,155000000.0,165000000.0,175000000.0,677000000.0,165000000.0,170000000.0,171000000.0,682000000.0,129000000.0,142000000.0,153000000.0,563000000.0,112000000.0,100000000.0,82000000.0,370000000.0,66000000.0,71000000.0,68000000.0,276000000.0,78000000.0,100000000.0,128000000.0,449000000.0,168000000.0,224000000.0,248000000.0,907000000.0,246000000.0,275000000.0
20,InterestExpense,IS,97000000.0,355000000.0,85000000.0,81000000.0,80000000.0,733000000.0,113000000.0,84000000.0,116000000.0,417000000.0,88000000.0,112000000.0,102000000.0,397000000.0,102000000.0,122000000.0,90000000.0,463000000.0,124000000.0,107000000.0,113000000.0,483000000.0,447000000.0,128000000.0,138000000.0,856000000.0,141000000.0,162000000.0,182000000.0,733000000.0,192000000.0,231000000.0,208000000.0,841000000.0,230000000.0,241000000.0,206000000.0,919000000.0,232000000.0,236000000.0,230000000.0,946000000.0,193000000.0,274000000.0,660000000.0,1437000000.0,442000000.0,780000000.0,210000000.0,1597000000.0,182000000.0,198000000.0,198000000.0,882000000.0,372000000.0,374000000.0,368000000.0,1527000000.0,382000000.0,
21,UnusualOrInfrequentItemOperating,IS,,,,78000000.0,100000000.0,819000000.0,209000000.0,152000000.0,96000000.0,732000000.0,99000000.0,70000000.0,64000000.0,447000000.0,121000000.0,132000000.0,341000000.0,895000000.0,128000000.0,201000000.0,128000000.0,1183000000.0,233000000.0,669000000.0,264000000.0,1657000000.0,311000000.0,297000000.0,222000000.0,1510000000.0,308000000.0,823000000.0,360000000.0,2157000000.0,,225000000.0,,,,,,,,,,,,,,,,,,,,,,,,
22,IncomeLossFromContinuingOperationsBeforeIncomeTaxesExtraordinaryItemsNoncontrollingInterest,IS,,,,,,14243000000.0,2511000000.0,3794000000.0,2923000000.0,11439000000.0,2725000000.0,3623000000.0,3084000000.0,11809000000.0,2344000000.0,3525000000.0,3380000000.0,11477000000.0,2205000000.0,3384000000.0,2660000000.0,9325000000.0,1981000000.0,4361000000.0,1725000000.0,9605000000.0,1894000000.0,4299000000.0,1428000000.0,8136000000.0,1507000000.0,2624000000.0,1674000000.0,6742000000.0,1833000000.0,2883000000.0,2847000000.0,8350000000.0,2132000000.0,3049000000.0,3092000000.0,10786000000.0,3010000000.0,2197000000.0,2181000000.0,9749000000.0,2763000000.0,3618000000.0,3084000000.0,12425000000.0,3458000000.0,2284000000.0,3444000000.0,11686000000.0,4053000000.0,2880000000.0,3537000000.0,12952000000.0,3872000000.0,3028000000.0
23,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerBasicShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,-0.1,-0.07,0.01,,,,,,,,,,,,,,,,,,,,,
24,IncomeLossFromContinuingOperationsIncludingPortionAttributableToNoncontrollingInterest,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1182000000.0,1327000000.0,2289000000.0,2319000000.0,6727000000.0,1646000000.0,,,,,,,,,,,,,,,,,,,,,
25,IncomeLossFromDiscontinuedOperationsNetOfTax,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,101000000.0,73000000.0,42000000.0,-501000000.0,-251000000.0,57000000.0,,,,,,,,,,,,,,,,,,,,,
26,IncomeLossFromContinuingOperationsPerBasicShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.28,0.31,0.54,0.55,1.58,0.39,,,,,,,,,,,,,,,,,,,,,
27,DiscontinuedOperationIncomeLossFromDiscontinuedOperationNetOfTaxPerDilutedShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.02,0.01,0.01,-0.1,-0.07,0.01,,,,,,,,,,,,,,,,,,,,,
28,DiscontinuedOperationTaxEffectOfDiscontinuedOperation,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47000000.0,40000000.0,16000000.0,26000000.0,126000000.0,36000000.0,,,,,,,,,,,,,,,,,,,,,
29,IncomeLossFromContinuingOperationsPerDilutedShare,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.27,0.31,0.53,0.54,1.57,0.38,,,,,,,,,,,,,,,,,,,,,
30,CostOfGoodsAndServicesSold,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3059000000.0,11770000000.0,2990000000.0,3921000000.0,3767000000.0,14619000000.0,3371000000.0,3013000000.0,3471000000.0,13433000000.0,3505000000.0,3787000000.0,3977000000.0,15357000000.0,4091000000.0,4830000000.0,4566000000.0,18000000000.0,4317000000.0,4912000000.0,4657000000.0,18520000000.0,4235000000.0,4812000000.0
31,Revenues,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8245000000.0,31856000000.0,8020000000.0,9997000000.0,9507000000.0,37266000000.0,8601000000.0,7150000000.0,8652000000.0,33014000000.0,9020000000.0,10129000000.0,10042000000.0,38655000000.0,10491000000.0,11325000000.0,11063000000.0,43004000000.0,10980000000.0,11972000000.0,11953000000.0,45754000000.0,11300000000.0,12363000000.0
32,OtherOperatingIncomeExpenseNet,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-174000000.0,324000000.0,,544000000.0,214000000.0,30000000.0,,138000000.0,909000000.0,-127000000.0,,-105000000.0,-351000000.0,-53000000.0,,,,,,,
33,OtherSellingGeneralAndAdministrativeExpense,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7000000.0
34,InterestExpenseNonoperating,IS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,418000000.0
